start-date-time,venue-name,event-name,city,tags,duration,venue-address
2019-03-07T21:00:00Z,dna lounge,"sequence: jantsen, digital ethos, & big chocolate",san francisco,"dubstep, hybrid trap, riddim, hip-hop",WIP,375 11th st
2019-03-07T21:30:00Z,audio,arty,san francisco,"progressive house, big room",WIP,316 11th st
2019-03-07T21:30:00Z,the park ultra lounge,wolfgang gartner,sacramento,electro house,WIP,no match
2019-03-07T22:00:00Z,underground,"shelter - professor bang, k2, splendid, shadow spirit",san francisco,"drum and bass, jungle, dubstep, bass music",WIP,424 haight st
2019-03-07T22:00:00Z,1015 folsom,malaa,san francisco,"future house, g-house",WIP,1015 folsom st
2019-03-07T22:00:00Z,the endup,substance 1yr anniversary w/ stacey pullen,san francisco,tech house,WIP,401 6th st
2019-03-08T02:00:00Z,tba,german brigante (dirtybird/get physical) at private tba.,san francisco,tech house,WIP,no match
2019-03-08T19:00:00Z,pyramind,"evolve.2 w/fierce animals, mac vaughn, ryan michael robbins",san francisco,"tech house, techno, minimal",WIP,no match
2019-03-08T19:30:00Z,starline social club,empress of,oakland,synthpop,WIP,2236 martin luther king jr. way
2019-03-08T20:00:00Z,1983 new long valley rd (clearlake oaks),moongodz entertainment: lunar landing,,"dubstep, trap, house, psytrance, bass music",WIP,no match
2019-03-08T20:30:00Z,the independent,bleep bloop (live modular),san francisco,"live modular, trap, hip-hop, dubstep, bass music",WIP,628 divisadero st
2019-03-08T21:00:00Z,the jam (arcata),"vitta (sf), marjo lak, skinny pepperwood",,"dubstep, breaks, drum and bass",WIP,no match
2019-03-08T21:00:00Z,111 minna gallery,"international women's day in the bay: a benefit for immigrant children, families, & refugees via raices feat aiko / femmelectric / foxforce005 / hellacat  / sobb deep + ladies only open decks",san francisco,"hip-hop, disco, electro, house, breaks, techno",WIP,111 minna st
2019-03-08T21:00:00Z,brix 581,"rhythm method: emanate [mioli music] jane allen's birthday w/mario dubbz, vedda, mike bledsoe, jan van lier, no way jose, ally af",oakland,"tech house, techno, deep house, funky house",WIP,581 5th st
2019-03-08T21:00:00Z,driftwood,wrongway: cm-4 b2b birch koolman all night long,san francisco,"deep house, tech house, techno",WIP,1225 folsom st
2019-03-08T21:00:00Z,mezzanine,wolfgang gartner,san francisco,electro house,WIP,444 jessie st
2019-03-08T21:00:00Z,the stud,"special guest, kathi, day thief",san francisco,"techno, house",WIP,399 9th st
2019-03-08T21:00:00Z,tba,"masters of puppets teaser: narkotika, bodhi, oso, blue spectral monkey, treetop, andrus, cosmic lotus",san francisco,"psytrance, hitech",WIP,no match
2019-03-08T21:30:00Z,the golden bull,stigmata w/ guest dj: bit,oakland,"goth, synthpop, darkwave",WIP,no match
2019-03-08T21:30:00Z,audio,jody wisternoff,san francisco,"progressive house, tech house",WIP,316 11th st
2019-03-08T21:30:00Z,the great northern,a club called rhonda sf,san francisco,"house, disco, funk",WIP,119 utah st
2019-03-08T21:30:00Z,public works oddjob loft,rhadoo,san francisco,"tech house, minimal, techno",WIP,1337 mission st
2019-03-08T21:30:00Z,the public works,"viken arman, lum, and crussen",san francisco,"deep house, tech house",WIP,161 erie st
